intent_android_net_wifi_WIFI_STATE_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_sendTextMessage,suspicious_system_bin_su,n_activities,suspicious_Ldalvik_system_PathClassLoader_,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_getSimCountryIso,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_SMS,intent_android_app_action_DEVICE_ADMIN_ENABLED,perm_android_permission_WRITE_SMS,suspicious_getSubscriberId,perm_android_permission_SEND_SMS,n_providers,intent_android_intent_action_PHONE_STATE,perm_android_permission_RECEIVE_SMS,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,n_services,suspicious_Landroid_telephony_SmsMessage___getMessageBody,intent_android_intent_action_PACKAGE_ADDED,suspicious_Base64,intent_android_intent_action_USER_PRESENT,suspicious_setWifiEnabled,suspicious_getSystemService,suspicious_getExternalStorageDirectory,suspicious_Ldalvik_system_DexClassLoader_,label
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,0,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,1,1,0
0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,1,0,0,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,1,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,1,0,1,0
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0
0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,1,1,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,1,1,0,1
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,4,0,0,1,0,0,1,1,1,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,2,0,0,1,0,0,1,1,1,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,1,0,0,1,1,1,0
