n_api_calls,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_providers,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_SEND_SMS,suspicious_Ldalvik_system_PathClassLoader_,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_DISCONNECTED,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,perm_com_sec_android_provider_badge_permission_READ,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_USER_PRESENT,n_permissions,n_services,n_receivers,perm_android_permission_RECEIVE_SMS,label
36,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,25,20,10,0,0
30,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,1,1,1,1,0,0,30,18,9,0,0
33,0,1,1,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,1,1,1,1,0,0,27,27,11,0,0
32,0,1,1,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,1,0,31,14,8,0,0
32,0,1,1,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,1,0,31,14,8,0,0
32,0,1,1,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,1,0,31,14,8,0,0
32,0,1,1,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,1,0,31,14,8,0,0
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,13,6,1,1
27,0,0,0,0,0,0,0,1,1,0,1,4,0,0,1,1,1,0,0,1,1,1,1,1,0,30,13,8,0,0
34,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,30,11,9,0,1
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,12,5,1,1
40,1,1,1,1,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0,1,1,16,12,5,0,1
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,12,5,1,1
25,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,1,1,1,0,0,24,10,8,0,0
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18,13,6,0,1
31,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,1,1,0,0,0,1,1,1,0,0,26,16,8,0,0
41,1,1,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0,1,1,15,12,5,0,1
37,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,17,7,9,0,0
40,1,0,0,1,0,1,0,1,1,1,1,6,1,0,1,0,0,0,1,1,1,0,0,0,0,16,10,15,0,0
39,1,1,1,1,1,1,0,1,1,1,1,3,0,1,0,0,0,1,0,1,1,0,0,1,0,24,13,13,1,1
30,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,20,8,7,0,1
33,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,10,7,1,1
33,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,10,7,1,1
33,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,10,7,1,1
25,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,34,15,14,0,1
26,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,1,1,0,0,1,1,1,1,0,0,27,9,6,0,0
41,0,1,0,0,0,1,0,1,1,1,0,4,0,0,1,1,1,0,0,1,1,1,1,1,0,32,16,15,0,0
26,0,0,0,0,0,0,0,1,1,1,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,16,13,9,0,0
35,0,0,1,1,0,0,0,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,1,0,0,28,18,8,0,0
26,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,1,0,14,17,10,0,0
37,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,15,10,5,0,0
46,1,1,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,1,1,1,1,0,0,1,1,26,10,10,0,1
39,1,1,1,1,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,28,15,4,0,0
27,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,1,1,0,0,1,1,1,1,1,0,26,18,13,0,0
36,1,1,0,1,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,16,12,9,0,1
39,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,26,12,7,0,0
32,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,9,6,1,1
40,1,0,1,1,0,1,0,0,0,0,0,4,1,0,0,0,0,1,1,1,0,0,0,1,1,29,10,8,0,1
40,1,1,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0,1,1,15,12,5,0,1
36,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,33,21,9,1,1
36,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,33,21,9,1,1
36,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,33,21,9,1,1
36,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,33,21,9,1,1
36,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,18,9,10,0,1
35,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,27,11,6,0,0
47,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,25,11,8,0,1
34,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,1,0,1,1,0,0,1,0,28,11,3,0,0
