cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,mean_reduction_ratio,mean_conditional_entropy
0,27735,250,250,0,-0.0,30,0.0,0.0
1,37855,250,180,70,0.8554508105601306,30,0.006339675757832501,0.8500275297944042
2,33455,250,246,4,0.11835001140827503,30,0.007662932007017109,0.1174431033178237
3,6751,250,214,36,0.5946193440950123,30,0.018168467664509413,0.5838160217691302
4,6786,250,234,16,0.3431229071320203,30,0.0010261099240835442,0.34277082531183173
5,26534,250,20,230,0.4021791902022728,30,0.011876585464466367,0.39740267467780566
6,38398,250,48,202,0.7056366064601749,30,0.010232711030406282,0.6984160309737913
7,49031,250,249,1,0.037622360322278434,3,0.005834903434059187,0.03740283748283656
8,17533,250,249,1,0.037622360322278434,30,0.0048416438392823394,0.037440206253204815
9,45174,250,213,37,0.6048125901165883,6,0.01970358064542664,0.5928956164718565
10,42363,250,249,1,0.037622360322278434,2,0.004365634293054789,0.03745811485586983
11,68780,250,248,2,0.06722154475830686,1,0.007505744011932474,0.06671699705126435
12,41625,250,247,3,0.09377790984777166,30,0.004602450912711841,0.09334630162100055
13,58945,250,248,2,0.06722154475830686,3,0.007751528926761957,0.06670047500961122
14,57893,250,249,1,0.037622360322278434,1,0.003680566377653753,0.03748388872782828
15,29019,250,234,16,0.3431229071320203,30,0.02481165491298625,0.33460945996752
16,58454,250,248,2,0.06722154475830686,30,0.001915775581267983,0.0670927633643238
17,52429,250,250,0,-0.0,30,0.0,0.0
18,58761,250,227,23,0.44311055824469103,30,0.006599079014903243,0.4401864366584965
19,17004,250,250,0,-0.0,30,0.0,0.0
20,64228,250,244,6,0.16334554318340233,30,0.0046115889777017536,0.16259226067690105
21,61938,250,243,7,0.18426059333965514,30,0.010126276966212173,0.18239471953753922
22,5715,250,150,100,0.9709505944546686,30,0.012228086090879426,0.9590777269956864
23,54158,250,248,2,0.06722154475830686,30,0.011297619252067745,0.06646210134009169
24,2600,250,243,7,0.18426059333965514,30,0.003797762574820163,0.18356081535425567
25,12365,250,134,116,0.9962572968375276,30,0.006093369466391482,0.9901867330443078
26,12463,250,247,3,0.09377790984777166,30,0.0026744631561302626,0.09352710428302487
27,72988,250,225,25,0.4689955935892812,30,0.01162247246436623,0.46354470521688074
28,41480,250,248,2,0.06722154475830686,30,0.007237196068361682,0.06673504925887284
29,6894,250,231,19,0.38792567937193734,30,0.011878671548508898,0.383317637641446
30,26041,250,206,44,0.6712478853829508,30,0.009878296172471008,0.6646170999659932
31,30616,250,244,6,0.16334554318340233,30,0.006907783870724758,0.1622171874748453
32,14186,250,249,1,0.037622360322278434,6,0.009358297243952627,0.03727027909136346
33,58810,250,235,15,0.32744491915447627,30,0.005708473943221059,0.32557570836564276
34,34379,250,248,2,0.06722154475830686,30,0.00754964920024649,0.06671404567668299
35,32391,250,249,1,0.037622360322278434,30,0.00221201688477168,0.03753913902600059
36,49614,250,238,12,0.2778395739583094,30,0.007755580167367353,0.2756847668688086
37,67794,250,244,6,0.16334554318340233,30,0.004117162847380184,0.1626730229817225
38,66445,250,250,0,-0.0,30,0.0,0.0
39,21090,250,196,54,0.7527960664084545,30,0.00638656356759884,0.7479882864768984
40,24393,250,218,32,0.5519275534566073,30,0.0046351083850812635,0.5493693094256233
41,12517,250,248,2,0.06722154475830686,30,0.008139367671179539,0.06667440389009435
42,37877,250,250,0,-0.0,30,0.0,0.0
43,64133,250,249,1,0.037622360322278434,4,0.011045854457587032,0.03720678920580765
44,9465,250,234,16,0.3431229071320203,30,0.00115035029433449,0.3427281955948081
45,5083,250,226,24,0.4561861025695263,30,0.004803692469750787,0.45399472482380804
46,52440,250,250,0,-0.0,30,0.0,0.0
47,59687,250,169,81,0.908678384800712,2,0.022857832742898473,0.8879079662638502
48,34661,250,220,30,0.5293608652873644,30,0.01127810443487409,0.523390678164918
49,4369,250,250,0,-0.0,30,0.0,0.0
50,17904,250,180,70,0.8554508105601306,1,0.00626083403648458,0.8500949750088374
51,32593,250,248,2,0.06722154475830686,30,0.007166280204914047,0.06673981633276167
52,22610,250,246,4,0.11835001140827503,30,0.015524950782795822,0.11651263330601822
53,52240,250,195,55,0.7601675029619657,1,0.003778437798159728,0.7572952573358416
54,20725,250,248,2,0.06722154475830686,1,0.01321300141451908,0.0663333463923292
55,49798,250,137,113,0.9933418121880535,30,0.009712066432619895,0.983694410517784
56,60270,250,249,1,0.037622360322278434,18,0.022058711839673104,0.03679245951720094
57,10467,250,249,1,0.037622360322278434,30,0.0021962487540568474,0.03753973226029595
58,45535,250,119,131,0.9983373765218819,14,0.016797788717424725,0.981567516202359
59,35155,250,248,2,0.06722154475830686,30,0.01005986611183362,0.06654530501820767
60,55648,250,247,3,0.09377790984777166,30,0.010382946338195594,0.09280421884211408
61,55043,250,247,3,0.09377790984777166,30,0.004817577620112852,0.09332612748802804
62,34629,250,223,27,0.49385372369952063,30,0.00486397574181542,0.4914516311674408
63,62354,250,249,1,0.037622360322278434,2,0.008610111327321333,0.03729842761150702
64,21594,250,240,10,0.24229218908241482,30,0.004232672802862293,0.24126664552333976
65,7957,250,244,6,0.16334554318340233,2,0.022128282149418487,0.15973098691599
66,3278,250,248,2,0.06722154475830686,4,0.01979090476533238,0.0658911695678167
67,27743,250,245,5,0.14144054254182067,30,0.007234372180581141,0.14041730901564978
68,10473,250,245,5,0.14144054254182067,30,0.006305769552003265,0.14054865107524162
69,47559,250,243,7,0.18426059333965514,30,0.00948207245369111,0.18251342104324847
70,47273,250,241,9,0.22364166448448083,30,0.007649351040090225,0.221930950885649
71,23392,250,249,1,0.037622360322278434,1,0.0028777656750521236,0.03751409198512854
72,74669,250,249,1,0.037622360322278434,30,0.0016150828667066356,0.03756159709271686
73,35618,250,202,48,0.7056366064601749,1,0.0056354059808247274,0.7016600577078402
74,37291,250,250,0,-0.0,30,0.0,0.0
75,51400,250,220,30,0.5293608652873644,30,0.017889372421574453,0.5198909316228316
76,30673,250,250,0,-0.0,30,0.0,0.0
77,66848,250,74,176,0.8763462289152606,30,0.00874118936900331,0.8686859205755002
78,15071,250,247,3,0.09377790984777166,30,0.007270395249696519,0.09309610737748793
79,48177,250,250,0,-0.0,30,0.0,0.0
80,27447,250,248,2,0.06722154475830686,30,0.001041038059176104,0.06715156457181687
81,24724,250,250,0,-0.0,30,0.0,0.0
82,32727,250,248,2,0.06722154475830686,30,0.006722659293985882,0.06676963721568134
83,55754,250,243,7,0.18426059333965514,30,0.00151525663605329,0.18398139125283416
84,40914,250,234,16,0.3431229071320203,30,0.014665309480970497,0.3380909035089189
85,25061,250,225,25,0.4689955935892812,30,0.0021018644107353257,0.4680098284423243
86,16081,250,250,0,-0.0,30,0.0,0.0
87,32936,250,237,13,0.2948328193632007,30,0.010167859879179758,0.2918350005681322
