perm_android_permission_READ_PHONE_STATE,n_permissions,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_SEND_SMS,suspicious_getWifiState,perm_android_permission_READ_LOGS,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PACKAGE_REMOVED,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSimCountryIso,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,suspicious_sendTextMessage,perm_android_permission_CHANGE_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,n_activities,n_urls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_adb_enabled,perm_android_permission_READ_CONTACTS,n_used_permissions,suspicious_Ljava_lang_System___load,label
1,11,0,0,1,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,12,87,1,0,1,0,0,0,10,1,0
0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,6,24,0,0,0,0,0,0,10,0,0
1,16,0,1,1,0,1,0,1,0,1,1,41,0,1,0,1,0,0,1,57,66,1,1,1,0,0,0,16,1,0
1,25,0,1,1,1,0,1,0,0,0,0,26,0,0,0,0,0,1,0,4,30,1,0,0,1,0,1,9,0,0
0,7,0,1,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,21,50,0,0,0,0,0,0,8,0,0
1,29,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,4,26,1,0,0,0,0,0,9,0,0
1,32,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,66,0,0,1,1,1,0,1,0,1,0
0,4,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,7,19,0,0,0,0,0,0,7,0,0
0,11,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,6,0,0
1,8,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,1,4,11,1,0,1,0,0,0,10,1,0
0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,6,24,0,0,0,0,0,0,9,0,0
0,6,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4,422,0,0,1,0,0,0,4,1,0
0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,40,0,0,1,0,0,0,13,1,0
0,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,37,0,0,1,0,0,0,3,1,1
0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,20,0,0,1,0,0,0,3,1,0
1,5,0,0,1,1,0,0,0,0,0,0,44,0,0,0,0,1,0,1,5,22,1,0,1,0,1,0,14,1,0
0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,33,0,0,0,0,0,0,8,0,0
0,5,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6,103,0,0,0,0,0,0,9,0,0
0,8,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,1,38,20,1,0,1,0,0,0,8,1,1
0,8,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,33,65,1,0,0,0,0,0,6,0,0
1,16,0,0,1,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,58,112,1,0,1,0,0,0,9,1,0
0,10,0,0,0,1,1,0,1,0,0,0,24,0,0,0,0,0,1,1,3,35,1,0,0,1,0,0,10,0,0
1,21,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,2,10,0,1,1,0,0,0,6,1,0
0,5,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,15,40,0,0,0,0,0,0,9,0,0
