intent_android_net_wifi_WIFI_STATE_CHANGED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,n_urls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_android_permission_GET_TASKS,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_QUICKBOOT_POWERON,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_GET_ACCOUNTS,suspicious_getSubscriberId,n_api_calls,n_services,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_com_google_firebase_MESSAGING_EVENT,n_permissions,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getCellSignalStrength,intent_android_intent_action_USER_PRESENT,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_VIEW,suspicious_Ldalvik_system_DexClassLoader_,suspicious_getDeviceId,suspicious_Ldalvik_system_PathClassLoader_,suspicious_adb_enabled,suspicious_getExternalStorageDirectory,label
0,0,0,0,50,0,1,0,1,1,1,0,0,24,7,0,0,1,7,1,0,0,1,1,0,1,1,1,1,1,0
0,0,0,0,52,0,0,0,1,0,0,0,0,25,7,0,0,1,7,1,0,0,1,1,0,0,1,1,0,1,1
0,0,0,0,53,0,0,0,1,0,0,0,0,23,6,0,0,1,5,1,0,0,1,1,1,1,1,1,0,1,0
0,0,0,0,51,0,0,0,1,0,1,0,0,25,6,0,0,1,7,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,52,0,0,0,1,0,0,0,1,26,8,0,0,0,9,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,49,0,0,0,0,0,0,0,0,23,5,0,0,1,6,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,49,0,0,0,1,0,0,0,0,25,8,0,0,1,7,1,0,0,1,1,0,1,1,1,1,1,0
0,0,0,0,47,0,1,0,1,0,1,0,0,23,7,0,0,1,7,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,50,0,1,0,0,0,1,0,0,26,6,0,0,0,8,1,0,0,1,1,1,1,1,1,0,1,1
0,0,0,0,49,0,1,0,1,0,1,0,0,23,9,0,0,1,9,1,1,0,1,1,0,1,1,1,0,1,0
0,0,0,0,47,0,0,0,1,0,0,0,0,25,6,0,0,0,8,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,50,0,0,0,1,0,0,0,0,24,5,0,0,0,8,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,51,0,0,0,1,0,0,0,0,23,6,0,0,0,8,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,52,0,1,0,1,0,1,0,0,22,5,0,0,0,9,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,50,0,0,0,1,0,0,0,0,21,7,0,0,1,7,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,52,0,0,0,1,0,0,0,1,25,8,0,0,0,9,1,0,0,1,1,0,1,1,1,0,1,1
0,0,0,0,50,0,0,0,0,0,0,0,0,25,5,0,0,1,6,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,48,0,0,0,1,0,0,0,0,22,5,0,0,0,8,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,51,0,0,0,1,0,0,0,0,26,4,0,0,0,6,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,51,0,0,0,1,0,0,0,0,22,6,0,0,1,7,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,48,0,0,0,1,0,0,0,0,25,4,0,0,0,10,1,0,0,1,1,0,1,1,1,1,1,0
0,0,0,0,53,0,0,0,1,0,1,0,0,22,10,0,0,1,7,1,1,0,1,1,0,1,1,1,1,1,0
0,0,0,0,49,0,1,0,1,0,1,0,0,25,8,0,0,0,10,1,0,0,1,1,0,1,1,1,0,1,1
0,0,0,0,51,0,0,0,1,0,0,0,0,21,7,0,0,1,7,1,0,0,1,1,0,1,1,1,0,1,1
0,0,0,0,47,0,0,0,1,0,0,0,0,26,4,0,1,0,8,1,0,0,1,1,0,1,1,1,1,1,0
0,0,1,1,49,0,0,0,1,0,0,0,0,23,5,0,0,0,9,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,46,0,0,0,1,0,0,0,0,26,6,1,0,0,7,1,0,0,1,1,0,0,0,1,0,1,0
0,0,0,0,48,0,0,0,1,0,1,0,0,24,4,0,0,0,8,1,0,0,1,1,0,1,1,1,0,1,0
0,1,0,0,46,0,1,0,1,0,1,0,0,23,8,0,0,1,10,1,0,0,1,1,1,1,1,1,0,1,0
0,0,0,0,51,0,0,0,0,0,0,0,0,22,5,0,0,1,8,1,0,0,1,1,0,1,1,1,0,1,1
0,0,0,0,50,0,0,0,1,0,0,0,0,23,11,0,0,1,10,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,48,0,0,0,1,0,0,0,0,26,9,0,1,1,10,1,0,0,1,1,1,0,1,1,0,1,0
