perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_COARSE_LOCATION,n_used_permissions,n_urls,n_permissions,n_services,suspicious_getDeviceId,suspicious_Ldalvik_system_PathClassLoader_,n_activities,suspicious_getSimCountryIso,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_READ_EXTERNAL_STORAGE,n_receivers,intent_android_media_AUDIO_BECOMING_NOISY,n_providers,perm_com_android_vending_BILLING,perm_android_permission_SET_WALLPAPER,perm_android_permission_READ_PHONE_STATE,intent_com_google_vr_vrcore_ACTION_NONE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_VIBRATE,suspicious_getExternalStorageDirectory,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Ldalvik_system_DexClassLoader_,suspicious_getPackageInfo,suspicious_Cipher,label
0,0,7,27,3,1,0,1,7,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
0,0,7,27,3,1,0,1,7,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,27,3,1,0,1,7,0,18,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,27,3,1,0,1,7,0,18,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,27,3,1,0,1,7,0,18,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,6,27,3,1,1,1,8,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,27,3,1,1,1,8,0,17,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
0,0,7,27,2,1,1,1,7,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,9,27,3,1,0,1,7,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,6,29,3,1,0,1,7,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,29,3,1,0,1,7,0,18,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,8,27,3,1,0,1,7,0,19,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,27,2,1,1,1,8,0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,7,28,2,1,0,1,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,6,29,4,1,0,1,7,0,17,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
0,0,6,29,4,1,0,1,7,0,17,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
0,0,7,29,4,1,0,1,7,0,18,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
0,0,7,26,3,1,1,1,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,7,27,2,0,1,1,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,7,26,3,0,1,1,7,0,18,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
0,0,7,25,3,1,1,1,7,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0,0,8,27,4,1,0,1,7,0,19,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
0,0,7,25,2,1,1,1,7,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,6,28,3,1,0,1,5,0,18,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
0,0,6,26,3,1,1,1,8,0,15,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
0,0,7,27,2,0,1,1,7,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,6,26,3,1,0,1,5,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,7,27,3,1,1,1,7,0,19,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
