suspicious_getCellLocation,n_providers,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_GET_TASKS,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_android_permission_READ_APP_BADGE,perm_com_sec_android_provider_badge_permission_READ,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_api_calls,perm_com_sec_android_provider_badge_permission_WRITE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_oppo_launcher_permission_WRITE_SETTINGS,perm_me_everything_badger_permission_BADGE_COUNT_READ,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,suspicious_Ldalvik_system_PathClassLoader_,n_urls,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_services,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,label
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,18,1,0,1,1,1,0,20,0,0,0,8,0,1,0
0,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,32,0,0,1,11,0,0,0
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,34,0,0,0,9,0,0,0
0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,37,0,0,1,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,118,1,1,0,13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,34,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,24,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,43,1,0,0,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,61,0,0,1,11,0,0,0
