suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_android_permission_SEND_SMS,suspicious_Ljava_lang_Runtime___exec,n_providers,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,suspicious_sendTextMessage,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_USER_PRESENT,n_activities,suspicious_getCellLocation,n_used_permissions,n_receivers,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_android_c2dm_intent_REGISTRATION,n_api_calls,n_urls,n_permissions,perm_android_permission_CHANGE_CONFIGURATION,suspicious_Base64,intent_com_android_vending_INSTALL_REFERRER,intent_safiap_framework_ACTION_TO_INSTALL_IAP,label
0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,16,0,22,5,0,0,0,53,95,28,0,1,0,0,0
1,0,0,0,1,2,0,1,0,1,1,0,0,1,1,0,24,1,13,7,0,0,0,30,103,7,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,16,14,3,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,77,0,8,1,0,0,0,20,52,7,0,1,0,0,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,42,0,12,3,0,0,1,45,126,7,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,18,0,9,2,0,0,0,25,37,7,0,1,0,0,0
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,10,0,11,4,0,0,1,21,29,10,0,1,0,0,0
0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,8,0,10,3,1,0,0,27,37,8,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,6,0,0,0,0,15,36,3,0,1,0,0,0
0,0,0,0,0,4,0,1,0,1,1,0,0,0,1,0,6,0,6,3,1,0,0,8,131,5,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,10,0,0,0,0,22,33,2,0,1,0,0,0
0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,14,0,11,5,1,0,0,20,69,7,0,1,1,0,0
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,22,0,0,0,0,0
1,1,0,1,1,3,1,0,1,0,0,1,0,1,0,1,18,1,18,4,0,1,0,64,168,32,0,1,1,0,0
0,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,28,0,10,8,1,0,0,20,37,27,0,1,1,0,0
1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,8,1,8,3,0,1,0,19,72,15,0,1,0,0,0
0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,12,0,9,6,1,0,0,19,9,6,0,1,1,0,0
0,0,0,0,1,4,0,1,0,1,1,0,0,0,1,0,22,0,14,5,0,0,0,38,70,7,0,1,1,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,8,0,8,2,0,0,0,21,24,31,0,1,0,0,1
0,0,0,0,0,4,0,1,0,1,1,0,0,0,1,0,14,0,10,9,0,0,0,26,107,16,0,1,1,0,0
