suspicious_getSubscriberId,suspicious_sendTextMessage,n_used_permissions,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_FINE_LOCATION,n_urls,n_permissions,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_READ_EXTERNAL_STORAGE,n_activities,suspicious_Cipher,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_DexClassLoader_,n_providers,suspicious_Ljava_lang_System___loadLibrary,suspicious_Base64,suspicious_getPackageInfo,n_services,perm_android_permission_CAMERA,perm_android_permission_VIBRATE,perm_android_permission_ACCESS_NETWORK_STATE,n_api_calls,intent_android_intent_action_MAIN,perm_android_permission_SET_WALLPAPER,n_receivers,perm_telecom_mdesk_permission_WRITE_SETTINGS,perm_com_yulong_android_launcher3_WRITE_SETTINGS,label
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,1
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,1
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,1
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
0,0,5,0,0,12,5,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0
