suspicious_getSubscriberId,suspicious_sendTextMessage,n_permissions,perm_android_permission_READ_PHONE_STATE,n_api_calls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_GET_TASKS,suspicious_Base64,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_urls,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_,perm_android_permission_VIBRATE,perm_android_permission_SEND_SMS,n_services,suspicious_getCellLocation,intent_android_intent_action_USER_PRESENT,n_providers,perm_android_permission_ACCESS_NETWORK_STATE,n_receivers,suspicious_Cipher,perm_com_google_android_c2dm_permission_RECEIVE,n_activities,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_CAMERA,n_used_permissions,label
0,0,3,0,9,0,1,0,0,1,0,15,0,0,0,0,1,0,0,0,1,0,1,0,7,0,0,0,0,5,0
0,0,35,0,24,1,1,1,1,1,0,98,0,0,0,1,5,0,0,1,1,3,1,1,33,1,0,0,0,10,0
0,0,14,0,18,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,1,1,1,0,18,1,0,0,0,7,0
0,0,2,0,18,0,0,0,0,1,0,21,0,0,0,0,1,0,0,0,1,1,0,0,88,0,0,0,0,6,0
0,0,8,0,7,0,0,0,0,1,0,38,0,0,0,0,11,0,0,4,1,3,1,1,13,0,0,0,0,6,0
0,0,27,0,31,0,1,0,0,1,0,52,1,0,1,0,13,0,1,7,1,22,1,1,41,1,0,0,0,13,0
0,0,5,0,7,0,0,0,0,1,0,50,0,0,0,0,4,0,0,0,1,3,1,0,5,0,0,1,0,5,0
0,0,20,1,0,1,1,0,1,0,0,0,1,0,1,0,7,0,1,2,1,7,0,0,14,1,0,0,1,0,0
1,0,10,0,36,1,1,0,0,1,0,122,0,0,0,0,24,1,0,5,1,8,1,1,58,1,0,0,0,15,0
0,0,2,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1
0,0,25,0,8,1,1,0,0,1,0,31,0,0,1,0,12,0,0,4,1,9,1,1,12,0,0,0,0,7,0
0,0,2,0,8,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,3,1
0,0,11,1,11,0,0,0,1,1,0,107,0,0,1,0,16,0,0,1,1,18,1,1,80,1,0,0,0,6,0
0,0,2,0,21,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,10,0
0,0,15,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0
1,0,12,1,19,1,1,0,1,1,1,18,1,0,0,0,1,0,1,0,1,1,1,0,4,1,1,1,0,7,0
0,0,4,0,17,0,0,0,0,1,0,8,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,8,0
0,0,8,0,17,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1,1,0,1,0,6,1,0,0,1,7,1
0,0,7,0,20,0,1,0,0,1,0,37,0,0,0,0,5,0,0,1,1,3,1,1,5,0,0,0,0,9,0
0,0,2,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,5,0
0,0,9,0,10,0,1,0,0,1,0,23,0,0,0,0,2,0,0,2,1,4,1,1,9,1,0,0,0,6,0
0,0,4,0,16,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,1,0,1,0,7,1,0,0,0,7,0
0,0,4,0,30,0,0,0,0,1,0,41,0,0,0,0,1,0,0,2,1,1,1,0,12,0,0,0,0,12,0
0,0,12,1,25,0,0,0,0,1,0,31,1,0,0,0,4,0,0,2,1,3,1,1,6,1,0,0,0,11,1
0,0,8,1,5,0,1,0,0,0,0,10,0,0,1,0,2,0,1,0,1,3,0,0,3,1,0,0,0,3,0
0,0,26,0,6,1,0,0,0,1,0,32,0,0,1,0,5,0,0,2,1,8,1,1,18,1,0,0,1,4,0
0,0,13,1,4,1,1,0,0,1,0,3,0,0,1,0,1,0,0,5,1,0,1,0,50,1,0,0,0,3,1
0,0,8,0,11,0,0,0,0,1,0,45,0,0,0,0,5,0,0,2,1,3,1,1,17,1,0,0,0,5,0
0,0,27,0,29,1,1,0,0,1,0,20,0,0,1,0,8,0,0,0,1,4,1,1,11,1,0,0,0,9,1
0,0,17,0,26,0,1,0,0,1,1,68,1,0,0,0,8,1,0,4,1,4,1,1,14,1,1,0,0,13,0
0,0,2,0,18,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,7,0
0,0,3,1,18,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,8,0
0,1,20,1,13,0,1,1,0,1,0,38,0,0,0,1,16,0,0,6,1,12,1,1,47,1,0,0,0,7,0
0,0,3,0,27,0,0,0,0,1,0,32,0,0,1,0,1,0,0,0,0,1,1,0,14,1,0,0,0,9,0
