suspicious_getSubscriberId,intent_android_intent_action_USER_PRESENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_DISABLE_KEYGUARD,suspicious_system_bin_su,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_MANAGE_USERS,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_SMS,suspicious_getCellLocation,perm_android_permission_READ_SMS,suspicious_Ldalvik_system_DexClassLoader_,n_providers,intent_android_intent_action_BATTERY_CHANGED_ACTION,perm_android_permission_SEND_SMS,intent_android_intent_action_SIG_STR,intent_android_intent_action_PACKAGE_ADDED,intent_cn_play_dservice,perm_android_permission_RECEIVE_SMS,n_services,n_api_calls,intent_android_intent_action_CREATE_SHORTCUT,perm_com_google_android_c2dm_permission_RECEIVE,n_used_permissions,perm_android_permission_CHANGE_CONFIGURATION,label
0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,1
0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,1,7,0,1
0,0,0,1,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,6,0,0
0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,19,0,0,7,0,0
0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,1
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,8,0,0
0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,7,0,0
0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,1,8,0,0
0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,7,0,1
0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,0,0,8,0,0
0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,1,6,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,1
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,7,0,1
0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,9,0,1
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,1,5,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,7,0,0
0,0,1,0,1,0,0,1,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,9,0,1
0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,0,0,8,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,8,0,0
