suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,n_services,perm_android_permission_SEND_SMS,intent_android_intent_action_USER_PRESENT,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_api_calls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_WIFI_STATE,intent_android_appwidget_action_APPWIDGET_UPDATE,suspicious_sendTextMessage,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_providers,suspicious_getDeviceId,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SET_WALLPAPER,intent_android_intent_action_MAIN,intent_android_intent_action_BOOT_COMPLETED,n_used_permissions,suspicious_getSimCountryIso,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Ldalvik_system_DexClassLoader_,label
0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,1,0,1,1,0,0,1,0,13,0,0,0,1,1,0
0,0,0,0,0,0,0,0,3,0,0,21,1,0,0,0,1,0,1,1,0,0,1,0,12,0,0,0,1,1,0
0,0,0,0,0,0,0,0,5,0,1,22,0,0,0,0,1,0,1,1,0,0,1,0,12,0,0,0,1,1,0
0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,0,1,0,1,1,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,1,0,0,1,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,2,0,0,0,3,0,0,23,0,0,0,0,1,0,1,1,0,0,1,0,13,0,0,0,1,1,0
0,0,0,0,0,0,0,0,5,0,1,22,0,0,0,0,1,0,1,1,0,0,1,0,13,0,0,0,1,1,0
0,0,0,0,0,0,0,0,4,0,0,21,0,1,0,0,1,0,1,1,0,0,1,0,12,0,0,0,1,1,0
0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,1,0,0,0,1,0,1,0,10,0,0,1,1,1,0
0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,1,0,0,0,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,0,0,0,0,5,0,1,21,0,0,0,0,1,0,1,1,0,0,1,0,12,0,0,0,1,1,0
0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,1,0,2,1,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,1,0,0,0,1,0,1,0,10,0,0,1,1,1,0
0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,1,0,0,0,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,1,0,1,1,0,0,1,0,11,0,0,0,1,1,0
0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,1,0,1,1,0,0,1,0,11,0,0,0,1,1,0
