n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_providers,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_activities,intent_com_google_firebase_INSTANCE_ID_EVENT,n_services,n_receivers,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_com_android_vending_BILLING,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,suspicious_getCellSignalStrength,perm_android_permission_CHANGE_WIFI_STATE,n_urls,suspicious_Landroid_telephony_SmsMessage___getMessageBody,intent_android_intent_action_MEDIA_BUTTON,label
6,0,0,0,0,0,0,1,0,0,1,1,1,0,7,0,0,7,1,2,4,0,0,0,0,0,0,23,0,0,0
21,1,0,1,0,0,0,0,1,0,0,0,1,1,5,0,0,10,0,2,3,0,0,0,0,1,0,74,0,0,0
35,0,1,1,0,1,0,0,1,0,1,1,0,1,15,0,0,4,0,1,2,0,0,0,0,0,0,31,0,0,0
69,1,1,1,1,1,1,17,1,0,0,0,1,0,125,1,1,421,0,57,19,0,0,0,0,0,1,202,1,0,0
27,1,1,1,1,1,1,2,1,0,0,0,1,0,31,1,1,56,0,13,9,0,0,0,0,1,1,102,0,0,0
15,0,1,1,0,0,0,0,1,0,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,34,0,0,0
13,0,0,0,0,0,0,2,0,0,1,1,1,0,11,1,0,63,1,16,7,0,0,0,0,0,0,96,0,0,0
10,0,0,0,0,0,0,1,0,1,1,1,1,0,7,1,0,31,1,6,4,0,0,0,0,0,0,40,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,34,0,0,0
10,0,0,1,0,0,0,1,1,1,1,1,0,0,15,0,0,51,1,14,6,0,1,0,0,0,0,91,0,0,0
25,0,1,0,1,1,1,0,0,0,0,0,0,0,14,1,0,21,0,3,3,0,0,0,0,0,0,25,0,1,0
44,1,1,1,1,0,0,0,1,0,0,0,0,0,24,1,1,174,0,2,0,0,0,0,0,0,1,157,0,0,0
