perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,n_api_calls,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_Runtime___exec,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getCellLocation,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Ljava_lang_System___load,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_REQUEST_INSTALL_PACKAGES,n_services,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_SEND_SMS,perm_android_permission_READ_LOGS,suspicious_getWifiState,perm_android_permission_WRITE_EXTERNAL_STORAGE,label
0,0,28,0,0,15,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,30,1,1,15,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,1,1
1,1,28,0,1,15,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,1
1,1,31,1,1,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,31,1,1,14,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,0,24,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
0,0,26,1,1,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,29,0,1,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,1
1,1,30,0,1,12,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0,1,0,0,0,1,0
1,0,27,1,1,13,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1,1
0,0,32,1,0,14,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,1,30,1,1,17,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,1,27,0,1,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,32,1,0,13,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
0,0,32,1,0,13,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,0,26,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,31,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,26,1,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,26,1,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,26,1,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,31,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,31,1,1,16,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,31,1,1,17,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1
