n_api_calls,suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,n_permissions,n_providers,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,suspicious_Ldalvik_system_PathClassLoader_,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_LOGS,perm_android_permission_READ_SMS,perm_android_permission_SEND_SMS,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_system_bin_su,suspicious_Ljava_lang_Runtime___exec,n_urls,label
45,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,80,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
43,1,1,1,1,1,1,1,1,1,0,41,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,75,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,69,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,69,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,69,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,69,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,69,1
44,1,1,1,1,1,1,1,1,1,0,41,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,68,1
35,1,1,1,1,1,1,1,1,1,0,37,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,74,1
52,1,1,1,1,1,1,1,1,1,0,39,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,85,1
57,1,1,1,1,1,1,0,1,1,0,29,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,83,1
51,0,1,1,0,1,0,1,0,1,1,27,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,82,0
49,1,1,1,0,0,1,1,1,1,1,24,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,82,1
59,1,1,1,1,1,1,1,1,1,0,35,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,67,1
39,1,1,0,1,1,1,1,0,1,0,23,6,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,87,0
55,1,1,1,1,1,1,1,1,1,0,32,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,86,1
