n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_CONFIGURATION,intent_com_igexin_sdk_action_refreshls,intent_android_intent_action_MEDIA_MOUNTED,perm_android_permission_READ_PHONE_STATE,perm_android_webkit_permission_PLUGIN,perm_com_android_alarm_permission_SET_ALARM,suspicious_getCellLocation,intent_android_intent_action_ERROR_NOTIFY,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,n_receivers,intent_com_igexin_sdk_action_pushmanager,intent_com_tencent_mm_plugin_openapi_Intent_ACTION_REFRESH_WXAPP,intent_com_areametrics_areametricssdk_AMLocationUpdatesBroadcastReceiver_PROCESS_UPDATES,intent_com_inmobi_share_id,intent_android_intent_action_DOWNLOAD_NOTIFY,perm_android_permission_ACCESS_DOWNLOAD_MANAGER,intent_com_google_firebase_MESSAGING_EVENT,n_activities,n_urls,suspicious_setWifiEnabled,suspicious_system_bin_su,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_BLUETOOTH_ADMIN,label
7,0,0,1,0,0,0,1,0,0,0,0,1,1,12,0,4,0,0,0,0,0,0,0,5,600,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,590,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,614,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,16,0,0,0,0,0,0,0,20,617,0,0,0,0,0
23,0,0,0,0,0,0,1,0,0,1,0,1,0,12,0,6,0,0,0,0,0,0,1,14,569,0,0,1,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,34,590,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,16,0,0,0,0,0,0,0,21,625,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,1,0,1,1,9,0,5,0,0,0,0,0,0,1,17,553,0,1,1,0,1
22,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,12,0,0,0,0,0,0,0,61,564,1,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,522,0,0,0,0,0
