suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,suspicious_getCellLocation,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RESTART_PACKAGES,perm_android_permission_RECORD_AUDIO,perm_android_permission_READ_LOGS,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_REQUEST_INSTALL_PACKAGES,suspicious_Ldalvik_system_PathClassLoader_,n_services,n_api_calls,label
0,0,0,0,14,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,20,1,0,0,1,15,0
1,1,1,1,30,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,43,1,0,1,9,47,0
0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,1,0,1,0,34,0
1,0,1,0,19,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,104,1,0,1,8,61,0
0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,56,0,0,0,3,28,0
0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,46,1,0,1,8,23,0
0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,148,1,0,1,3,53,0
0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,1,0,1,5,16,1
0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,1,1,33,0
0,1,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,46,1,0,1,9,25,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,23,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
1,1,1,0,35,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,154,1,0,0,11,18,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11,1,0,0,6,14,0
