top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,ig_gain,mi_gain,mean_ig_gain
100,3.3860499733810774,2.3470309922862755,0.03386049973381077,0.023470309922862757,0.011511921179858497,0.007979455708648157,,,
200,4.243965807687266,2.941692934004895,0.02121982903843633,0.014708464670024474,0.007473964445680992,0.005180557383352404,0.8579158343061883,0.5946619417186194,-0.012640670695374442
300,4.9722455522441775,3.446497985619806,0.016574151840813924,0.011488326618732687,0.006546518447543004,0.00453770080439617,0.7282797445569118,0.5048050516149112,-0.004645677197622405
400,5.525522328980413,3.8300002234851838,0.013813805822451033,0.00957500055871296,0.004689719253342217,0.003250665678070823,0.5532767767362357,0.3835022378653776,-0.0027603460183628914
500,5.883403765628007,4.07806473227449,0.011766807531256014,0.00815612946454898,0.002752357948090922,0.0019077891516105037,0.35788143664759353,0.24806450878930653,-0.002046998291195019
600,6.08521420369063,4.217949068426586,0.010142023672817716,0.00702991511404431,0.0015960239106728724,0.0011062794738389112,0.20181043806262355,0.13988433615209583,-0.0016247838584382973
700,6.219509774081485,4.311035664406473,0.008885013962973549,0.006158622377723534,0.0010920985808346995,0.0007569850521993574,0.13429557039085438,0.09308659597988722,-0.0012570097098441677
800,6.304637694844335,4.370041842672202,0.007880797118555417,0.005462552303340252,0.0007089736888570286,0.0004914231135433628,0.08512792076284992,0.059006178265728515,-0.0010042168444181314
900,6.368898512348536,4.414584047147576,0.007076553902609484,0.004905093385719529,0.0005967472853472544,0.0004136336983434343,0.0642608175042012,0.04454220447537427,-0.0008042432159459335
1000,6.4205983091191605,4.450419615517439,0.00642059830911916,0.004450419615517439,0.00044925948309954,0.0003114029440488186,0.05169979677062475,0.03583556836986279,-0.0006559555934903235
1100,6.463566513914312,4.480202905525318,0.00587596955810392,0.004072911732295743,0.000399240671310086,0.00027673254568279996,0.04296820479515162,0.02978329000787916,-0.0005446287510152406
1200,6.501295750538085,4.506354819516603,0.005417746458781738,0.0037552956829305026,0.00035441289166410206,0.0002456602966230488,0.0377292366237727,0.026151913991284914,-0.0004582230993221822
1300,6.533722832940829,4.528831560259187,0.005025940640723715,0.003483716584814759,0.0002915598122073537,0.00020209386179476097,0.03242708240274439,0.02247674074258388,-0.00039180581805802264
1400,6.5606850816464926,4.547520366932055,0.0046862036297474945,0.0032482288335228962,0.00026579580938945746,0.00018423561589131433,0.026962248705663328,0.018688806672868097,-0.0003397370109762205
1500,6.583979682223227,4.563666953645338,0.004389319788148818,0.003042444635763559,0.00022149073393912255,0.00015352567775651395,0.023294600576734048,0.016146586713283284,-0.00029688384159867656
1600,6.605507074295532,4.57858860476722,0.004128441921434707,0.0028616178779795128,0.00018330987103337693,0.0001270607202767172,0.02152739207230514,0.01492165112188193,-0.0002608778667141107
1700,6.623274170213492,4.5909038172099255,0.003896043629537348,0.002700531657182309,0.00017718796849497398,0.00012281734079625374,0.017767095917959885,0.012315212442705281,-0.00023239829189735913
1800,6.639585991353051,4.602210310043954,0.0036886588840850283,0.0025567835055799746,0.0001351095843936112,9.365082748828647e-05,0.01631182113955898,0.011306492834028958,-0.0002073847454523198
1900,6.652879713080025,4.611424815778506,0.003501515638463171,0.0024270656925150028,0.0001328875127177831,9.211060477469469e-05,0.013293721726974184,0.009214505734551182,-0.00018714324562185735
2000,6.666168464351802,4.6206358762559745,0.003333084232175901,0.0023103179381279873,0.0001328875127177831,9.211060477469469e-05,0.013288751271777421,0.009211060477468891,-0.00016843140628727002
2100,6.679457215623582,4.629846936733444,0.0031806939122017057,0.0022046890174921164,0.0001328875127177831,9.211060477469469e-05,0.013288751271780086,0.009211060477469779,-0.00015239031997419522
2200,6.692170457572097,4.638659084547084,0.003041895662532771,0.002108481402066856,0.00010948379785757911,7.588838587478403e-05,0.012713241948514309,0.00881214781363937,-0.0001387982496689347
2300,6.70179913599359,4.645333175849281,0.0029138257113015607,0.002019710076456209,8.858936626870983e-05,6.14054694601331e-05,0.009628678421493397,0.006674091302197205,-0.0001280699512312103
2400,6.710658072620461,4.651473722795293,0.0027961075302585254,0.0019381140511647054,8.858936626870983e-05,6.14054694601331e-05,0.008858936626871206,0.006140546946012293,-0.00011771818104303533
2500,6.7195170092473315,4.657614269741307,0.0026878068036989325,0.0018630457078965229,8.858936626870983e-05,6.14054694601331e-05,0.008858936626870317,0.006140546946014069,-0.00010830072655959285
2600,6.728375945874204,4.663754816687321,0.002587836902259309,0.0017937518525720467,8.858936626870983e-05,6.14054694601331e-05,0.008858936626872094,0.006140546946014069,-9.996990143962357e-05
