perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,n_permissions,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_QUICKBOOT_POWERON,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_SEARCH,n_receivers,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,n_services,suspicious_Ljava_lang_System___loadLibrary,n_activities,n_api_calls,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___load,n_urls,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_VIBRATE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_vending_BILLING,perm_android_permission_READ_PHONE_STATE,suspicious_getSimCountryIso,n_used_permissions,suspicious_Base64,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getDeviceId,label
0,0,2,0,0,0,0,0,0,0,0,0,2,23,0,1,47,1,0,0,0,0,0,0,0,9,1,1,1,1,1
0,0,2,0,0,0,0,0,0,0,0,0,1,22,0,1,47,1,0,0,0,0,0,0,0,9,1,1,1,1,1
0,0,3,0,0,0,0,0,0,0,0,1,3,24,0,1,48,0,1,0,0,0,0,0,0,8,1,1,1,1,0
0,0,2,0,0,0,0,0,0,0,0,0,2,23,0,1,45,1,0,0,0,0,0,0,0,11,1,1,1,1,0
0,0,3,1,0,0,0,0,0,0,0,1,4,23,1,1,46,1,0,0,0,0,0,0,0,9,1,1,1,1,1
0,0,3,0,0,0,0,0,0,0,0,0,3,21,1,1,46,1,0,0,0,0,0,0,0,9,1,1,1,1,1
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,1
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,0
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,0
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,0
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,0
0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,0,0,0,0,0,0,0,9,1,1,1,1,0
0,0,3,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,1,0,0,0,0,0,0,9,1,1,1,1,0
0,0,3,0,0,0,0,0,0,0,0,0,2,22,0,1,44,1,1,0,0,0,0,0,0,9,1,1,1,1,0
