cluster_id,anchor_index,n_samples,class_0,class_1,feature_rank,feature,conditional_entropy,entropy_reduction_ratio,base_entropy
0,32778,500,436,64,1,n_api_calls,0.17375471843416895,0.6851856419452529,0.5519275534566073
0,32778,500,436,64,2,n_activities,0.25170678053081263,0.5439496018011322,0.5519275534566073
0,32778,500,436,64,3,n_receivers,0.2633025654348892,0.5229399877105607,0.5519275534566073
0,32778,500,436,64,4,n_urls,0.2652601125219267,0.5193932412675216,0.5519275534566073
0,32778,500,436,64,5,intent_com.google.android.gms.iid.InstanceID,0.2862698297027645,0.48132716348383736,0.5519275534566073
0,32778,500,436,64,6,n_providers,0.2995623121417005,0.4572434185146146,0.5519275534566073
0,32778,500,436,64,7,perm_android.permission.READ_PHONE_STATE,0.30095426672241016,0.4547214306703909,0.5519275534566073
0,32778,500,436,64,8,suspicious_getCellLocation,0.3077746850968289,0.4423639784437283,0.5519275534566073
0,32778,500,436,64,9,intent_android.intent.action.ACTION_POWER_CONNECTED,0.3101568471763812,0.43804790097190566,0.5519275534566073
0,32778,500,436,64,10,perm_android.permission.BLUETOOTH_ADMIN,0.3272105413287739,0.4071494722821456,0.5519275534566073
0,32778,500,436,64,11,perm_android.permission.ACCESS_FINE_LOCATION,0.33093948244603305,0.40039325746028076,0.5519275534566073
0,32778,500,436,64,12,suspicious_getCellSignalStrength,0.33391426373942956,0.3950034535362583,0.5519275534566073
0,32778,500,436,64,13,n_services,0.33538720079236717,0.3923347390578582,0.5519275534566073
0,32778,500,436,64,14,perm_android.permission.ACCESS_COARSE_LOCATION,0.3540381967209364,0.3585422679051464,0.5519275534566073
0,32778,500,436,64,15,n_permissions,0.3643427236748073,0.33987219628191284,0.5519275534566073
0,32778,500,436,64,16,perm_android.permission.BLUETOOTH,0.36620768922085595,0.33649319203693767,0.5519275534566073
0,32778,500,436,64,17,intent_com.google.android.c2dm.intent.REGISTRATION,0.37481925232508573,0.3208904864820195,0.5519275534566073
0,32778,500,436,64,18,intent_android.intent.action.VIEW,0.3971016916578995,0.28051844998327347,0.5519275534566073
0,32778,500,436,64,19,n_used_permissions,0.39990704210437866,0.2754356262885515,0.5519275534566073
0,32778,500,436,64,20,perm_android.permission.VIBRATE,0.4034833461873414,0.2689559641289708,0.5519275534566073
0,32778,500,436,64,21,intent_com.google.android.gms.analytics.ANALYTICS_DISPATCH,0.415374399723076,0.24741137288458842,0.5519275534566073
0,32778,500,436,64,22,intent_android.appwidget.action.APPWIDGET_UPDATE,0.4186650038816347,0.24144935098886983,0.5519275534566073
0,32778,500,436,64,23,perm_android.permission.FLASHLIGHT,0.42189761911137363,0.23559239528971374,0.5519275534566073
0,32778,500,436,64,24,intent_android.intent.action.MEDIA_BUTTON,0.4258599102582309,0.228413389418305,0.5519275534566073
0,32778,500,436,64,25,intent_android.appwidget.action.APPWIDGET_CONFIGURE,0.42664220520796275,0.2269960023992433,0.5519275534566073
0,32778,500,436,64,26,intent_android.intent.action.ACTION_VIEW_DOWNLOADS,0.42742118000907775,0.22558463093167216,0.5519275534566073
0,32778,500,436,64,27,intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION,0.42742118000907775,0.22558463093167216,0.5519275534566073
0,32778,500,436,64,28,intent_android.intent.action.DOWNLOAD_NOTIFICATION_CLICKED,0.4410538971947943,0.20088443776259102,0.5519275534566073
