cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_features_scored,max_reduction_ratio,mean_reduction_ratio,mean_conditional_entropy
0,32778,500,436,64,0.5519275534566073,1000,0.6851856419452529,0.011828406596879542,0.5453991299423017
1,70505,500,497,3,0.05291508034484766,1000,0.6669036904083604,0.02350744657604575,0.051671181920574
2,50222,500,500,0,-0.0,1000,0.0,0.0,0.0
3,34982,500,374,126,0.8144326879441559,1000,0.6348650337938124,0.009872793259723216,0.8063919623921224
4,33753,500,499,1,0.020814071335501033,1000,0.326174692809302,0.0024562157589952125,0.02076294748547793
5,58339,500,398,102,0.7298563169471574,1000,0.3853826179597845,0.01051967038530633,0.7221784690642398
6,11565,500,497,3,0.05291508034484766,1000,0.48642334282062577,0.006958487811285814,0.05254687140323484
7,24425,500,473,27,0.303151590366192,1000,0.4646973826861466,0.008497315398560355,0.3005756156892753
8,12382,500,493,7,0.10627369308465984,1000,0.18873949317003133,0.0015781121812191287,0.10610598127505978
9,53749,500,489,11,0.15252732850878192,1000,0.25612433594052225,0.007072878667291933,0.15144852122079316
10,13677,500,500,0,-0.0,1000,0.0,0.0,0.0
11,37311,500,498,2,0.037622360322278434,1000,0.7419219352168845,0.005057308705567741,0.03743209243189656
12,32435,500,494,6,0.09377790984777166,1000,0.4097042994379843,0.011255439021770246,0.092722398301891
13,61647,500,496,4,0.06722154475830686,1000,0.2689268092000412,0.0049906174069680705,0.06688606774691278
14,27772,500,494,6,0.09377790984777166,1000,0.4362976356720306,0.0030261105906014526,0.09349412752161683
15,52238,500,495,5,0.08079313589591118,1000,0.5721599002689837,0.004419253183275252,0.08043609057291637
16,62411,500,362,138,0.8499431123430717,1000,0.5896425315497881,0.012460541558979008,0.8393523608689528
17,15091,500,498,2,0.037622360322278434,1000,1.0,0.008029057248948852,0.03732028823741028
18,66534,500,399,101,0.7259101060407926,1000,0.5773668785397693,0.004215153870552811,0.7228502832476416
