perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,intent_android_intent_action_USER_PRESENT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_MY_PACKAGE_REPLACED,intent_pushy_me,n_providers,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_Runtime___exec,n_receivers,suspicious_sendTextMessage,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_SEND_SMS,intent_android_intent_action_BOOT_COMPLETED,intent_com_google_android_c2dm_intent_REGISTRATION,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECEIVE_BOOT_COMPLETED,n_services,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Base64,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_CHANGE_CONFIGURATION,label
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
1,0,0,0,31,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,3,0,1,0,0,1
1,1,1,0,15,1,1,0,0,0,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0
1,0,0,0,6,0,0,0,0,1,0,0,1,0,0,6,0,1,0,0,0,1,0,1,0,6,1,1,0,0,0
1,1,1,1,125,1,1,0,0,17,1,1,0,1,1,19,1,0,1,1,1,1,0,1,1,57,0,1,1,1,0
0,0,0,0,7,0,0,0,0,4,0,0,1,0,1,5,0,1,0,0,0,0,0,1,0,4,1,1,0,0,0
0,0,0,0,16,0,0,1,0,1,0,1,1,0,0,7,0,1,1,0,0,1,1,0,1,10,1,1,0,0,0
0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,16,0,0,0,0,2,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,10,1,1,0,0,0
0,1,0,0,11,0,0,0,0,2,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0
1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,25,0,0,1,0,2,0,1,1,0,1,7,0,1,1,0,0,0,1,1,0,8,1,1,1,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,19,0,1,0,0,1,0,1,1,0,1,5,0,1,1,0,0,0,1,1,1,9,0,1,0,0,0
1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,4,0,1,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,5,0,1,0,0,0,0,0,1,0,10,1,1,0,0,0
0,0,0,0,8,0,0,0,0,2,0,1,1,0,0,4,0,1,1,0,0,0,1,1,0,2,1,1,0,0,0
0,0,0,0,26,0,0,1,0,1,0,1,1,0,1,12,0,1,1,0,0,1,1,1,1,14,1,1,0,0,1
