suspicious_getSubscriberId,suspicious_Ljava_lang_Runtime___exec,suspicious_getPackageInfo,suspicious_getCellLocation,suspicious_getCellSignalStrength,perm_android_permission_DISABLE_KEYGUARD,perm_android_permission_READ_PHONE_STATE,suspicious_getSimCountryIso,n_activities,suspicious_sendTextMessage,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_CAMERA,suspicious_getExternalStorageDirectory,suspicious_Cipher,n_urls,suspicious_Ldalvik_system_PathClassLoader_,n_providers,n_services,n_receivers,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getDeviceId,intent_android_intent_action_MAIN,n_used_permissions,suspicious_getSystemService,perm_android_permission_BROADCAST_SMS,intent_android_intent_action_CONFIGURATION_CHANGED,label
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,8,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,8,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,8,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,7,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,7,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,6,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,1,0,6,0,0,1,0,0,0,0,1,5,1,0,0,0
0,0,1,0,0,0,0,0,2,0,20,0,2,0,0,1,1,7,0,0,0,0,0,1,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,21,0,2,0,0,1,1,6,0,0,0,0,0,0,0,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,20,0,1,0,0,1,1,8,0,0,0,0,0,0,1,1,7,1,0,0,1
0,0,1,0,0,0,0,0,2,0,20,0,3,0,0,1,1,8,0,0,0,0,0,1,0,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,20,0,1,0,0,1,1,8,0,0,0,0,0,0,1,1,7,1,0,0,0
0,1,1,0,0,0,0,0,3,0,20,0,2,0,0,1,1,8,0,1,1,0,0,1,1,1,7,1,0,0,0
0,0,1,0,0,0,0,0,3,0,22,0,2,0,0,1,0,7,0,0,0,0,0,1,0,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,18,0,2,0,0,1,1,9,0,0,0,0,0,1,0,1,4,1,0,0,0
0,0,0,0,0,0,0,0,3,0,17,0,1,0,0,1,1,8,0,1,0,0,0,0,1,1,6,1,0,0,0
0,1,0,0,0,0,0,0,2,0,20,0,1,0,0,1,1,9,0,0,0,0,0,0,1,1,8,1,0,0,0
0,0,0,0,0,0,0,0,2,0,17,0,1,0,0,1,1,7,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,17,0,1,0,0,1,1,8,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,0,0,0,0,0,0,2,0,17,0,2,0,0,1,1,7,0,0,1,1,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,17,0,1,0,0,1,0,10,0,0,0,0,0,0,1,1,5,1,0,0,0
0,0,0,0,0,0,0,0,5,0,19,0,2,0,0,1,0,7,0,0,0,0,0,0,0,1,4,1,0,0,0
0,0,1,0,0,0,0,0,2,0,23,0,2,0,0,1,0,9,0,0,0,0,0,1,0,1,5,1,0,0,0
0,0,1,0,0,0,0,0,1,0,20,0,2,0,0,1,1,10,0,0,0,0,0,1,1,1,7,1,0,0,0
0,1,1,0,0,0,0,0,3,0,19,0,1,0,0,1,1,8,0,2,0,0,0,0,1,1,7,1,0,0,0
0,0,1,0,0,0,0,0,2,0,19,0,3,0,0,1,1,8,0,0,0,0,0,1,1,1,7,1,0,0,0
0,0,0,0,0,0,0,0,2,0,17,0,2,0,0,1,1,9,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,20,0,0,0,0,1,1,6,0,0,0,0,0,0,1,1,7,1,0,0,0
0,0,0,0,0,0,0,0,2,0,17,0,2,0,0,1,1,7,0,1,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,22,0,3,0,0,1,0,6,0,0,0,0,0,1,0,1,5,1,0,0,0
0,0,1,0,0,0,0,0,1,0,21,0,3,0,0,1,1,8,0,1,0,0,1,0,1,1,7,1,0,0,0
0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,1,1,8,0,0,0,0,0,0,1,1,6,1,0,0,0
1,1,1,0,0,0,0,0,1,1,19,0,2,0,0,1,0,6,0,0,1,1,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,1,1,9,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,21,0,2,0,0,1,1,5,0,1,0,0,0,1,0,1,6,1,0,0,0
0,0,0,0,0,0,0,0,5,0,19,0,2,0,0,1,1,6,0,0,1,0,0,1,0,1,5,1,0,0,0
0,0,0,0,0,0,0,0,2,0,17,0,1,0,0,1,1,6,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,17,0,1,0,0,1,1,9,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,1,1,8,0,0,0,0,0,0,1,1,6,1,0,0,1
0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,1,1,9,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,0,0,0,0,0,0,1,0,17,0,1,0,0,1,1,10,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,4,0,18,1,3,0,0,1,0,8,0,0,1,0,0,1,0,1,7,1,0,0,0
0,0,0,0,0,0,0,0,1,0,17,0,2,0,0,1,1,6,0,1,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,17,0,2,0,0,1,1,7,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,4,0,19,0,2,0,0,1,1,9,0,1,0,0,0,0,1,1,7,1,0,0,0
0,0,1,0,0,0,0,0,4,0,18,1,3,0,0,1,0,8,0,0,1,0,0,1,0,1,7,1,0,0,0
0,1,1,0,0,0,0,0,2,0,17,0,2,0,0,1,1,8,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,17,0,1,0,0,1,1,10,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,18,0,2,0,0,1,1,10,0,0,0,0,0,1,1,1,7,1,0,0,0
0,0,0,0,0,0,0,0,4,0,20,0,4,0,0,1,0,7,0,0,0,0,1,1,0,1,6,1,0,0,0
0,1,0,0,0,0,0,0,2,0,17,0,1,0,0,1,1,6,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,17,0,2,0,0,1,1,7,1,0,1,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,18,0,2,0,0,1,1,10,0,0,0,0,0,1,1,1,7,1,0,0,0
0,0,0,0,0,0,0,0,3,0,17,0,2,0,0,1,1,6,0,0,0,1,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,19,0,2,0,0,1,1,10,0,1,0,0,0,1,1,1,7,1,0,0,0
0,0,1,0,0,0,0,0,1,0,19,0,1,0,0,1,1,5,0,1,0,0,0,0,1,1,7,1,0,0,0
0,0,0,0,0,0,0,0,4,0,17,0,1,0,0,1,1,7,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,2,0,17,0,1,0,0,1,1,6,0,0,0,0,0,0,1,1,6,1,0,0,0
0,1,0,0,0,0,0,0,3,0,21,0,2,0,0,1,1,5,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,1,0,17,0,2,0,0,1,1,6,0,0,1,0,0,1,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,4,0,18,0,3,0,0,1,1,8,0,0,0,0,1,0,1,1,6,1,0,0,1
0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,1,1,10,0,0,0,0,0,0,1,1,8,1,0,0,0
0,0,1,0,0,0,0,0,1,0,17,0,1,0,0,1,1,6,0,0,0,0,0,0,1,1,6,1,0,0,0
0,0,1,0,0,0,0,0,3,0,18,0,2,0,0,1,1,8,1,0,0,0,0,0,1,1,8,1,0,0,0
