intent_android_intent_action_QUICKBOOT_POWERON,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,n_urls,n_api_calls,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,n_services,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_READ_EXTERNAL_STORAGE,n_permissions,n_receivers,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getSimCountryIso,n_providers,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_vending_BILLING,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getExternalStorageDirectory,suspicious_Cipher,intent_android_intent_action_MAIN,n_used_permissions,suspicious_getPackageInfo,suspicious_getDeviceId,perm_android_permission_VIBRATE,label
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,8,1,0,0,1
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,8,1,0,0,1
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,52,17,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,8,1,0,0,1
0,0,0,55,17,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,8,1,0,0,0
0,0,0,55,18,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,0,55,18,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,0,52,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,9,1,0,0,0
0,0,0,55,18,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,6,1,0,0,0
0,0,0,49,17,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,1,5,1,0,0,0
