cluster_id,base_entropy,max_entropy_reduction_ratio,mean_entropy_reduction_ratio,top_1_feature,top_1_score,top_2_feature,top_2_score,top_3_feature,top_3_score,top_4_feature,top_4_score,top_5_feature,top_5_score
0,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
1,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
2,0.1414405425418206,0.3368300415694317,0.0019155659778551,n_used_permissions,0.3368300415694317,perm_android.permission.ACCESS_WIFI_STATE,0.2978247800236863,n_api_calls,0.2808050314602741,n_permissions,0.2505133351345682,n_activities,0.1900569611254839
3,0.4689955935892812,0.7650393701075122,0.015322574589536,n_api_calls,0.7650393701075122,n_urls,0.7232287431102468,n_activities,0.7119423894596757,n_permissions,0.6475590551612682,n_used_permissions,0.550984053713657
4,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
5,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
6,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
7,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
8,0.1414405425418206,0.7171956549291874,0.0078535156215731,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.7171956549291874,suspicious_getCellLocation,0.7171956549291874,suspicious_getSubscriberId,0.6104529221034468,suspicious_Base64,0.6104529221034468,suspicious_Ldalvik/system/DexClassLoader;,0.5411340426841155
9,0.1414405425418206,1.0,0.0121605688904931,n_api_calls,1.0,n_permissions,1.0,n_urls,1.0,perm_android.permission.ACCESS_WIFI_STATE,1.0,n_receivers,0.5411340426841155
