suspicious_getSubscriberId,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,n_permissions,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_GET_TASKS,intent_android_intent_action_USER_PRESENT,perm_android_permission_RECEIVE_SMS,perm_android_permission_READ_LOGS,suspicious_getSimCountryIso,suspicious_getWifiState,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SEND_SMS,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_READ_SMS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_CALL_PHONE,suspicious_adb_enabled,perm_android_permission_BROADCAST_STICKY,perm_android_permission_GET_PACKAGE_SIZE,intent_android_provider_Telephony_SMS_RECEIVED,n_urls,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_CHINAMOBILE_OMS_GAME,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,label
1,1,1,1,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,17,0,0,0,0,0
1,1,1,1,13,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,17,0,0,0,0,0
1,1,1,1,10,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,14,0,0,0,0,0
1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0
1,1,1,1,16,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,1,0,0,1
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0
0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
1,0,1,1,8,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,18,0,0,0,0,0
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,1,0,0,1
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,1,0,0,0
