intent_ACTION_TAPCORE_MESSAGE,intent_ACTION_TAPCORE_SYNC,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_android_permission_BROADCAST_STICKY,intent_com_yandex_metrica_IMetricaService,intent_com_inmobi_share_id,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,n_permissions,suspicious_system_bin_su,suspicious_setWifiEnabled,n_providers,intent_android_intent_action_DATA_SMS_RECEIVED,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_ACCESS_COARSE_UPDATES,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_UPDATE_DEVICE_STATS,n_api_calls,n_services,suspicious_getSubscriberId,intent_android_intent_action_MEDIA_UNMOUNTED,perm_android_permission_WRITE_APN_SETTINGS,intent_safiap_framework_ACTION_NETWORK_ERROR_FRAMEWORK,intent_com_google_firebase_MESSAGING_EVENT,n_activities,n_urls,perm_android_permission_ACCESS_WIFI_STATE,label
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,29,1,0,0,0,0,0,65,75,0,1
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,29,1,0,0,0,0,0,65,75,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,1,0,0,23,1,0,0,0,0,0,65,77,0,0
0,0,0,0,1,1,0,0,0,0,7,0,0,2,0,0,0,1,0,0,24,4,0,0,0,0,0,69,76,0,0
0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,21,1,0,0,0,0,0,68,74,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,70,74,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,63,80,0,0
0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,0,30,4,1,0,0,0,0,56,78,1,0
0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,0,30,4,1,0,0,0,0,56,78,1,0
0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,57,82,0,0
0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,19,6,0,0,0,0,1,61,76,1,0
0,0,0,1,0,0,0,0,1,0,13,0,0,3,0,0,0,0,0,0,25,5,0,0,0,0,0,64,72,0,0
0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,1,0,0,25,1,0,0,0,0,0,67,67,0,0
0,0,0,0,0,0,0,0,1,1,15,0,0,2,0,0,0,0,1,0,24,2,1,0,0,0,0,66,72,1,0
0,0,0,0,0,0,0,0,1,0,14,0,0,2,0,0,0,1,0,0,36,0,1,0,0,0,0,69,77,1,0
0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,1,0,0,22,1,1,0,0,0,0,69,80,1,0
0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,1,0,1,0,0,26,7,0,0,0,0,0,59,84,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,23,2,1,0,0,0,0,69,64,0,0
0,0,0,0,0,0,0,0,1,0,9,0,0,4,0,0,0,0,0,0,26,9,0,0,0,0,1,62,78,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,18,8,0,0,0,0,1,68,72,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,68,86,0,0
0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,1,0,0,27,7,0,0,0,0,1,59,82,1,0
0,0,0,1,0,0,1,0,0,0,17,0,0,1,0,0,0,0,0,0,34,2,0,0,0,0,0,63,82,1,0
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,1,0,22,1,0,0,0,0,0,57,74,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,17,2,0,0,0,0,0,65,68,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,1,0,0,31,9,0,0,0,0,1,56,73,0,0
0,0,0,0,0,0,1,0,1,0,16,0,0,1,0,0,0,1,0,0,29,4,1,0,0,0,0,72,68,1,0
0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,1,0,1,0,0,29,1,0,0,0,0,0,67,64,0,0
0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,1,0,1,0,0,29,1,0,0,0,0,0,67,64,0,0
0,0,0,0,0,0,0,0,1,0,9,0,0,4,0,0,0,0,0,0,26,9,0,0,0,0,1,63,83,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,28,8,1,0,0,0,0,54,74,0,0
0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,1,0,0,0,0,21,1,0,0,0,0,0,66,64,0,1
0,0,0,0,0,0,0,0,1,0,15,1,0,1,0,0,0,0,0,0,30,2,1,0,0,0,0,71,85,1,0
0,0,0,0,0,0,1,1,0,0,13,1,0,3,0,0,0,0,0,0,32,12,0,0,0,0,1,67,73,1,0
0,0,0,0,0,0,0,0,1,0,17,0,0,3,0,0,0,1,0,0,30,1,0,0,0,0,0,60,70,1,0
0,0,0,0,0,0,0,1,1,0,16,0,0,3,0,0,0,0,0,0,22,7,0,0,0,0,1,62,79,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,18,1,0,0,0,0,0,76,76,1,1
0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,18,1,0,0,0,0,0,74,80,1,1
0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,18,1,0,0,0,0,0,74,80,1,0
1,1,1,1,1,1,1,1,1,1,18,1,0,1,0,1,0,1,1,0,29,5,0,0,0,0,0,67,69,1,0
0,0,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0,1,0,0,21,8,0,0,0,0,1,59,68,0,0
0,0,0,0,0,1,1,0,1,0,17,0,0,1,0,0,0,1,0,0,27,2,1,0,0,0,0,57,68,1,0
0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,1,1,0,28,3,0,0,0,0,0,49,77,1,0
0,0,0,0,0,0,0,1,0,1,16,0,1,5,0,0,0,0,0,0,28,7,0,0,0,0,1,64,69,1,0
1,1,1,1,1,1,1,1,1,1,17,1,1,0,0,1,0,1,0,0,28,6,0,0,0,0,0,60,67,1,0
1,1,1,1,1,1,1,1,1,1,19,1,0,0,0,1,0,1,0,0,28,8,1,0,0,0,0,67,73,1,0
0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,26,9,0,0,0,0,1,59,83,0,0
0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,1,0,0,22,9,0,0,0,0,1,69,69,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,1,0,0,19,1,0,0,0,0,0,65,64,0,0
0,0,0,0,0,0,1,0,1,1,11,1,0,0,0,0,0,0,1,0,31,4,1,0,0,0,0,53,67,1,0
0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,19,5,0,0,0,0,1,52,76,0,0
0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,23,12,0,0,0,0,1,54,74,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,17,1,0,0,0,0,0,73,65,0,0
