suspicious_getSubscriberId,suspicious_sendTextMessage,perm_android_permission_SEND_SMS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_NETWORK_STATE,n_activities,n_permissions,suspicious_Base64,n_api_calls,n_urls,n_used_permissions,suspicious_getPackageInfo,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getDeviceId,n_providers,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_READ_EXTERNAL_STORAGE,n_services,n_receivers,perm_android_permission_CAMERA,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_VIEW,suspicious_Cipher,intent_android_intent_action_MAIN,intent_co_ronash_pushe_RECEIVE,perm_com_aspire_mm_permission_READ_SETTINGS,perm_com_fx_launcher_permission_READ_SETTINGS,label
0,0,0,0,1,6,3,1,18,2,8,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,7,3,1,20,1,7,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,6,3,1,18,2,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,6,2,1,18,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,8,3,1,20,3,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,2,1,18,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,4,1,17,2,8,1,1,1,2,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0
0,0,0,0,1,5,4,1,19,4,7,1,1,1,2,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,6,2,1,18,1,8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,5,4,1,18,2,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,6,2,0,17,2,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,4,0,18,2,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,2,1,18,3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,6,2,0,17,2,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,9,2,1,18,1,8,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,7,2,1,21,1,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,6,2,0,17,1,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,2,1,19,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,2,1,19,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,8,2,0,18,3,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,1,4,2,1,17,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,5,3,0,18,2,8,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,1,4,3,1,18,1,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,1,4,4,1,18,1,8,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,0,0,0,1,6,2,1,18,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,3,1,19,3,7,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,6,5,1,18,4,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,4,1,20,2,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,5,1,1,18,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,5,1,1,18,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,5,5,1,18,4,8,1,1,1,2,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
0,0,0,1,1,5,4,1,17,4,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
