window_id,n_features_first,n_rules_mean,n_rules_std,n_rules_min,n_rules_max,status_<lambda>,elapsed_time_mean,elapsed_time_max,train_accuracy_mean,train_f1_mean
0,30,0.0,0.0,0,0,0.0,0.6941,1.161,,
1,30,0.0,0.0,0,0,0.0,0.6228,0.7384,,
2,30,0.0,0.0,0,0,0.0,0.5764,0.8494,,
3,30,0.0,0.0,0,0,0.0,0.5827,0.798,,
4,30,0.0,0.0,0,0,0.0,0.5754,0.8468,,
5,30,0.0,0.0,0,0,0.0,0.6206,0.7044,,
6,30,0.0,0.0,0,0,0.0,0.5947,0.8427,,
7,30,0.0,0.0,0,0,0.0,0.6339,0.8329,,
8,30,0.0,0.0,0,0,0.0,0.5238,0.834,,
9,30,0.0,0.0,0,0,0.0,0.6132,0.8217,,
