suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RESTART_PACKAGES,n_providers,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_sendTextMessage,perm_android_permission_READ_LOGS,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_android_intent_action_TIME_TICK,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,perm_,perm_android_permission_INSTALL_PACKAGES,perm_com_xiaomi_sdk_permission_PAYMENT,intent_android_intent_action_USER_PRESENT,perm_android_permission_READ_INTERNAL_STORAGE,perm_android_permission_WRITE_INTERNAL_STORAGE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,n_services,n_receivers,intent_android_intent_action_CREATE_SHORTCUT,label
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,5,0,0
