perm_android_permission_CHANGE_WIFI_STATE,intent_android_provider_Telephony_SMS_RECEIVED,perm_android_permission_READ_SMS,perm_android_permission_RECEIVE_SMS,intent_android_intent_action_MEDIA_MOUNTED,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_RUN_INSTRUMENTATION,intent_com_sina_weibo_sdk_action_ACTION_SDK_REQ_ACTIVITY,perm_android_permission_WRITE_SMS,perm_android_permission_WRITE_OWNER_DATA,perm_android_permission_READ_SETTINGS,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,perm_android_permission_RECEIVE_USER_PRESENT,intent_android_intent_action_TIME_TICK,perm_com_android_launcher_permission_READ_SETTINGS,intent_cn_egame_terminal_sdk_RECEIVER_CMD,intent_cn_egame_terminal_sdk_SERVICE_CMD,intent_com_tencent_mm_plugin_openapi_Intent_ACTION_REFRESH_WXAPP,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_WRITE_APN_SETTINGS,perm_android_permission_READ_CALL_LOG,perm_android_permission_RECEIVE_WAP_PUSH,intent_android_intent_action_MEDIA_EJECT,intent_intent_action_HEJU,intent_android_provider_Telephony_SMS_RECEIVED2,suspicious_getSubscriberId,n_providers,n_permissions,intent_android_intent_action_USER_PRESENT,perm_android_permission_SEND_SMS,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0
