suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PACKAGE_ADDED,suspicious_adb_enabled,suspicious_getCellLocation,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_RECEIVE_SMS,perm_android_permission_SEND_SMS,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_CHANGE_WIFI_STATE,suspicious_getWifiState,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,perm_com_majeur_launcher_permission_UPDATE_BADGE,n_urls,perm_android_permission_READ_SMS,n_api_calls,n_used_permissions,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_sec_android_provider_badge_permission_WRITE,intent_com_google_android_gms_iid_InstanceID,label
0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,25,0,20,11,0,0,0,0,0
0,1,19,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,7,0,0,0,0,0
0,0,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,41,0,24,9,0,0,0,0,0
0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,0,7,4,0,0,0,0,0
0,1,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,23,0,27,6,0,0,0,0,0
0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,20,6,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14,6,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,10,0,0,0,0,0
0,1,12,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,44,0,30,8,0,0,0,0,0
