suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_SEND_SMS,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,suspicious_sendTextMessage,intent_android_intent_action_USER_PRESENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_REPLACED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_getWifiState,intent_safiap_framework_ACTION_TO_INSTALL,n_permissions,perm_android_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_safiap_framework_ACTION_TO_INSTALL_IAP,intent_safiap_framework_sdk_ISAFFramework,intent_safiap_framework_ACTION_CHECK_UPDATE,intent_safiap_framework_ACTION_CANCEL_NOTIFICATION,n_urls,perm_android_permission_ACCESS_WIFI_STATE,intent_safiap_GET_SHARED_DATA,intent_safiap_framework_ACTION_SET_TIMER,perm_com_google_android_c2dm_permission_RECEIVE,label
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,47,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,48,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,49,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,49,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,49,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,49,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,49,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,48,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,48,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,48,1,0,0,1,0
