cluster_id,n_samples,n_rules,n_label1_rules,n_label0_rules,accuracy,recall,precision,f1,tp,fp,tn,fn
0,500,82,16,66,0.846,0.13043478260869565,0.13953488372093023,0.1348314606741573,6,37,417,40
1,500,21,21,0,0.102,0.9512195121951219,0.08024691358024691,0.14800759013282733,39,447,12,2
2,500,182,102,80,0.274,0.7073170731707317,0.07631578947368421,0.1377672209026128,29,351,108,12
3,500,11,0,11,0.9,0.0,0.0,0.0,0,0,450,50
4,500,159,159,0,0.236,0.7555555555555555,0.08395061728395062,0.1511111111111111,34,371,84,11
5,500,73,6,67,0.758,0.13953488372093023,0.06666666666666667,0.09022556390977443,6,84,373,37
6,500,33,1,32,0.934,0.0,0.0,0.0,0,0,467,33
7,500,90,46,44,0.552,0.43902439024390244,0.0821917808219178,0.13846153846153847,18,201,258,23
8,500,30,0,30,0.902,0.0,0.0,0.0,0,0,451,49
9,500,15,0,15,0.918,0.0,0.0,0.0,0,0,459,41
10,500,116,111,5,0.252,0.8478260869565217,0.0960591133004926,0.17256637168141592,39,367,87,7
11,500,0,0,0,0.924,0.0,0.0,0.0,0,0,462,38
12,500,88,46,42,0.08,0.8181818181818182,0.056133056133056136,0.10505836575875487,27,454,13,6
13,500,83,9,74,0.656,0.21568627450980393,0.07692307692307693,0.1134020618556701,11,132,317,40
14,500,45,0,45,0.918,0.0,0.0,0.0,0,0,459,41
15,500,4,4,0,0.866,0.20588235294117646,0.14893617021276595,0.1728395061728395,7,40,426,27
16,500,114,114,0,0.082,1.0,0.082,0.15157116451016636,41,459,0,0
17,500,0,0,0,0.898,0.0,0.0,0.0,0,0,449,51
18,500,101,101,0,0.144,0.9487179487179487,0.07991360691144708,0.14741035856573706,37,426,35,2
19,500,0,0,0,0.92,0.0,0.0,0.0,0,0,460,40
20,500,0,0,0,0.914,0.0,0.0,0.0,0,0,457,43
21,500,40,0,40,0.924,0.0,0.0,0.0,0,0,462,38
22,500,130,130,0,0.082,0.9761904761904762,0.08216432865731463,0.15157116451016636,41,458,0,1
23,500,44,12,32,0.91,0.03125,0.06666666666666667,0.0425531914893617,1,14,454,31
24,500,0,0,0,0.896,0.0,0.0,0.0,0,0,448,52
25,500,13,13,0,0.314,0.6122448979591837,0.0847457627118644,0.1488833746898263,30,324,127,19
26,500,3,0,3,0.914,0.0,0.0,0.0,0,0,457,43
27,500,25,0,25,0.916,0.0,0.0,0.0,0,0,458,42
28,500,101,52,49,0.684,0.3018867924528302,0.11678832116788321,0.16842105263157894,16,121,326,37
29,500,29,29,0,0.344,0.7021276595744681,0.09510086455331412,0.16751269035532995,33,314,139,14
30,500,150,90,60,0.218,0.6756756756756757,0.06188118811881188,0.11337868480725624,25,379,84,12
31,500,88,0,88,0.928,0.0,0.0,0.0,0,0,464,36
32,500,12,0,12,0.912,0.0,0.0,0.0,0,0,456,44
33,500,28,0,28,0.936,0.0,0.0,0.0,0,0,468,32
34,500,0,0,0,0.898,0.0,0.0,0.0,0,0,449,51
35,500,74,0,74,0.918,0.0,0.0,0.0,0,0,459,41
36,500,17,0,17,0.91,0.0,0.0,0.0,0,0,455,45
